accuracy,recall,precision,f1_score,model,classifier,pooling,penalty,kernel,regularization,max_iter,solver,embedding_dim,train_time
0.5682507583417593,0.5682476938043389,0.5689932526538685,0.5682910636196854,SWEM,lr,max,l2,,0.0006158482110660267,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.534961462020874
0.5735591506572295,0.5735546008480049,0.5736017524889937,0.5734244587663145,SWEM,lr,max,l2,,0.0008858667904100823,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.6142997741699219
0.5739383215369059,0.5739329092254439,0.5737725857215397,0.5736456111844523,SWEM,lr,max,l2,,0.0012742749857031334,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.5325489044189453
0.5728008088978767,0.5727949173754379,0.5724978673999278,0.5724107906320285,SWEM,lr,max,l2,,0.0018329807108324356,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.5888285636901855
0.573685540950455,0.5736791383366641,0.5732603612243006,0.5731797168710476,SWEM,lr,max,l2,,0.0026366508987303583,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.7047929763793945
0.5744438827098078,0.5744377197075616,0.5740302305257791,0.5739770533100331,SWEM,lr,max,l2,,0.00379269019073225,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.6906826496124268
0.5749494438827099,0.5749432489516377,0.574479411001331,0.5744218507398654,SWEM,lr,max,l2,,0.005455594781168515,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.7716269493103027
0.5743174924165824,0.5743110738504912,0.5738070042140458,0.5737419023493203,SWEM,lr,max,l2,,0.007847599703514606,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.767998218536377
0.5750758341759353,0.5750694156340693,0.5745485401512274,0.5744814139983411,SWEM,lr,max,l2,,0.011288378916846883,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.8151264190673828
0.5749494438827099,0.5749429614468543,0.5744149722477896,0.5743532103458643,SWEM,lr,max,l2,,0.01623776739188721,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.6694316864013672
0.5758341759352882,0.5758276136652557,0.5752911083576421,0.5752108050700323,SWEM,lr,max,l2,,0.023357214690901212,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.8650209903717041
0.5757077856420627,0.5757011115605769,0.5751589494336199,0.5750595513340484,SWEM,lr,max,l2,,0.03359818286283781,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.7274477481842041
0.5760869565217391,0.5760801866174381,0.5755050158570535,0.5754104089966574,SWEM,lr,max,l2,,0.04832930238571752,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.7085304260253906
